OlinkID,wmh_1_nobs,wmh_1_beta,wmh_1_se,wmh_1_pvalue,wmh_1_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID20419,913,0.023186828776876167,0.02879083119086445,0.4208299357314039,0.9977753115365164,109.22508504950703,P60568,IL2,Inflammation,Unique Protein
OID20420,913,-0.023226174632547444,0.02961664197734665,0.4331152740167149,0.9977753115365164,31.10658954150653,Q13651,IL10RA,Inflammation,Unique Protein
OID20421,913,-0.010073856404635102,0.030574918707250025,0.7418695504578934,0.9977753115365164,41.82230943016657,Q13219,PAPPA,Inflammation,Unique Protein
OID20422,913,-0.012083248036144247,0.030617201153354524,0.6931915676018223,0.9977753115365164,38.83128161762722,Q9UHF4,IL20RA,Inflammation,Unique Protein
OID20423,913,-0.05881773539394811,0.030020469772178718,0.05039450132869204,0.9977753115365164,30.402363868405207,P63241,EIF5A,Inflammation,Unique Protein
OID20424,913,-0.04560712843123275,0.030538404510384923,0.13567732108923658,0.9977753115365164,37.25206297851802,P05412,JUN,Inflammation,Unique Protein
OID20425,913,-0.022465830953108768,0.030577227040487237,0.46270075513413134,0.9977753115365164,62.96770911361362,Q96AX2,RAB37,Inflammation,Unique Protein
OID20426,913,-7.724910460870773e-4,0.030490036650304256,0.97979275064581,0.9977753115365164,735.1626198185713,P05112,IL4,Inflammation,Unique Protein
OID20427,913,0.026859300197485066,0.030376679500273875,0.3768225188829333,0.9977753115365164,85.8218402734492,P01584,IL1B,Inflammation,Unique Protein
OID20428,913,0.059118846486253325,0.03198837688562738,0.06491400298036963,0.9977753115365164,39.78103766546303,O95760,IL33,Inflammation,Unique Protein
OID20429,913,0.02024326071631254,0.03220177151344827,0.5297471209013325,0.9977753115365164,25.618731324586996,Q8NHJ6,LILRB4,Inflammation,Unique Protein
OID20430,913,0.04567199418184233,0.030801358001848834,0.13848339737739795,0.9977753115365164,50.12271961934438,P35225,IL13,Inflammation,Unique Protein
OID20431,913,-0.012071783695317783,0.02995700915830305,0.6870667753372174,0.9977753115365164,35.51207261299738,P22301,IL10,Inflammation,Unique Protein
