OlinkID,epvs_1_nobs,epvs_1_beta,epvs_1_se,epvs_1_pvalue,epvs_1_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID20419,906,-0.02588908134805147,0.029018193713534837,0.3725458151299358,0.9721282119571041,109.22508504950703,P60568,IL2,Inflammation,Unique Protein
OID20420,906,-0.025962052335857373,0.030125802277150525,0.3890376756915285,0.9721282119571041,31.10658954150653,Q13651,IL10RA,Inflammation,Unique Protein
OID20421,906,0.009478009138805704,0.030797781072994444,0.7583451781856504,0.9842338442300496,41.82230943016657,Q13219,PAPPA,Inflammation,Unique Protein
OID20422,906,-0.034050926263839196,0.03086259366938372,0.27019363113123407,0.9721282119571041,38.83128161762722,Q9UHF4,IL20RA,Inflammation,Unique Protein
OID20423,906,0.03650118876578425,0.030298088166145633,0.22862741072002496,0.9721282119571041,30.402363868405207,P63241,EIF5A,Inflammation,Unique Protein
OID20424,906,-0.052734850810961464,0.030715290364535533,0.08634870752325605,0.9721282119571041,37.25206297851802,P05412,JUN,Inflammation,Unique Protein
OID20425,906,0.019526234707643798,0.030813398012279957,0.5264449282030519,0.9729370773240811,62.96770911361362,Q96AX2,RAB37,Inflammation,Unique Protein
OID20426,906,-0.020275086977449393,0.030874817288082012,0.5115529984719791,0.9721282119571041,735.1626198185713,P05112,IL4,Inflammation,Unique Protein
OID20427,906,0.012087517006421992,0.03068703244401536,0.6937522835188612,0.9842338442300496,85.8218402734492,P01584,IL1B,Inflammation,Unique Protein
OID20428,906,0.0025513445306080567,0.03236190952005336,0.9371793910087418,0.9931788866106035,39.78103766546303,O95760,IL33,Inflammation,Unique Protein
OID20429,906,0.04785107538787101,0.03246196682861547,0.1408194793108242,0.9721282119571041,25.618731324586996,Q8NHJ6,LILRB4,Inflammation,Unique Protein
OID20430,906,0.005535629478556225,0.030923962617132296,0.8579725752988746,0.9842338442300496,50.12271961934438,P35225,IL13,Inflammation,Unique Protein
OID20431,906,0.053680515559009795,0.0303934772115823,0.07770946367633347,0.9721282119571041,35.51207261299738,P22301,IL10,Inflammation,Unique Protein
OID20432,906,0.03049536051694665,0.030974294169810904,0.3251202800438854,0.9721282119571041,57.97285671459355,P27540,ARNT,Inflammation,Unique Protein
OID20433,906,0.02256927547628902,0.03309518168097275,0.49544868523727714,0.9721282119571041,82.36731004574459,O95379,TNFAIP8,Inflammation,Unique Protein
OID20434,906,0.011201112202970197,0.029611314708250572,0.7053197362125855,0.9842338442300496,48.03796732575595,Q8WV07,LTO1,Inflammation,Unique Protein
OID20435,906,0.021121564529041906,0.03299470393700416,0.5222406825969601,0.9721282119571041,29.017743628845672,O43707,ACTN4,Inflammation,Unique Protein
OID20436,906,-0.06757793195828918,0.03023881768738149,0.025678878846754932,0.9721282119571041,54.69405784157634,P28838,LAP3,Inflammation,Unique Protein
OID20437,906,-6.820600103189953e-4,0.032431832972129274,0.9832260083240529,0.9980286402036154,20.55292359496504,Q9NP70,AMBN,Inflammation,Unique Protein
