OlinkID,epvs_thalamus_1_nobs,epvs_thalamus_1_beta,epvs_thalamus_1_se,epvs_thalamus_1_pvalue,epvs_thalamus_1_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID20419,906,6.57492942176258e-4,0.03070175173279809,0.9829190528991356,0.999828192354927,109.22508504950703,P60568,IL2,Inflammation,Unique Protein
OID20420,906,-0.006103899176462727,0.031916527648981965,0.8483770037165912,0.999828192354927,31.10658954150653,Q13651,IL10RA,Inflammation,Unique Protein
OID20421,906,0.05073482335916231,0.03260514945112271,0.12005717994676834,0.999828192354927,41.82230943016657,Q13219,PAPPA,Inflammation,Unique Protein
OID20422,906,-0.03992804243347353,0.03263105859397509,0.22142135214584455,0.999828192354927,38.83128161762722,Q9UHF4,IL20RA,Inflammation,Unique Protein
OID20423,906,-0.07899139405503908,0.031952170460058917,0.013616601702524574,0.6685622638697096,30.402363868405207,P63241,EIF5A,Inflammation,Unique Protein
OID20424,906,-0.09288504083131312,0.03239655153251014,0.00424059173619942,0.538923897604822,37.25206297851802,P05412,JUN,Inflammation,Unique Protein
OID20425,906,0.016444878483197513,0.03258388638301862,0.613899846918742,0.999828192354927,62.96770911361362,Q96AX2,RAB37,Inflammation,Unique Protein
OID20426,906,-0.006566207187557899,0.03265702015095316,0.840693440568861,0.999828192354927,735.1626198185713,P05112,IL4,Inflammation,Unique Protein
OID20427,906,0.04333152740567606,0.03242042772191427,0.18171341235305316,0.999828192354927,85.8218402734492,P01584,IL1B,Inflammation,Unique Protein
OID20428,906,0.006676121579568473,0.034218394081271884,0.8453569118007569,0.999828192354927,39.78103766546303,O95760,IL33,Inflammation,Unique Protein
OID20429,906,0.04310612769235497,0.03433862368902075,0.2096925850901791,0.999828192354927,25.618731324586996,Q8NHJ6,LILRB4,Inflammation,Unique Protein
OID20430,906,-0.0055679323767447355,0.032727625284367005,0.8649472727046152,0.999828192354927,50.12271961934438,P35225,IL13,Inflammation,Unique Protein
OID20431,906,0.059830606999341625,0.03215461704535974,0.0631161525944573,0.9406766951138462,35.51207261299738,P22301,IL10,Inflammation,Unique Protein
OID20432,906,-0.03225299637769038,0.032802999533887184,0.32576172588188,0.999828192354927,57.97285671459355,P27540,ARNT,Inflammation,Unique Protein
OID20433,906,5.713247260851933e-4,0.035006067982845175,0.9869821990333287,0.999828192354927,82.36731004574459,O95379,TNFAIP8,Inflammation,Unique Protein
