OlinkID,mb_present_6_nobs,mb_present_6_OR,mb_present_6_CI_lower,mb_present_6_CI_upper,mb_present_6_pvalue,mb_present_6_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID20419,972,1.0696702714749673,0.9228408527254192,1.2398611161374025,0.3712902613307682,0.8858775386888316,109.22508504950703,P60568,IL2,Inflammation,Unique Protein
OID20420,972,1.009409337617054,0.8777330000012648,1.1608395843235146,0.8955198677208284,0.9778294396269602,31.10658954150653,Q13651,IL10RA,Inflammation,Unique Protein
OID20421,972,1.0574387092318405,0.9249318777719749,1.2089286256144873,0.4135809594403051,0.8858775386888316,41.82230943016657,Q13219,PAPPA,Inflammation,Unique Protein
OID20422,972,0.9652151956465674,0.832316232884183,1.1193346195816412,0.6394787528556412,0.9067567887819683,38.83128161762722,Q9UHF4,IL20RA,Inflammation,Unique Protein
OID20423,972,0.9182967756331523,0.7939830202852393,1.062074309643673,0.2507599912339052,0.8858775386888316,30.402363868405207,P63241,EIF5A,Inflammation,Unique Protein
OID20424,972,1.07681938529349,0.9464835208007928,1.2251031983766563,0.26084261996751057,0.8858775386888316,37.25206297851802,P05412,JUN,Inflammation,Unique Protein
OID20425,972,0.9830325723124586,0.8542673443753211,1.1312068108302678,0.8111807514032902,0.960309924576218,62.96770911361362,Q96AX2,RAB37,Inflammation,Unique Protein
OID20426,972,0.892031913390167,0.7767161596460996,1.0244681079753535,0.10572202902530474,0.8858775386888316,735.1626198185713,P05112,IL4,Inflammation,Unique Protein
OID20427,972,0.9526089076727622,0.8290225310023277,1.0946189000199142,0.4934618703543821,0.8867575436837299,85.8218402734492,P01584,IL1B,Inflammation,Unique Protein
OID20428,972,1.1984549145871353,1.0245571394113768,1.401868306850343,0.02361667451786342,0.8858775386888316,39.78103766546303,O95760,IL33,Inflammation,Unique Protein
OID20429,972,1.1275046896044356,0.9668643009205583,1.3148347951926784,0.12594203874339144,0.8858775386888316,25.618731324586996,Q8NHJ6,LILRB4,Inflammation,Unique Protein
OID20430,972,1.0366396968791247,0.9035123578802254,1.1893825820676833,0.6078614452774874,0.9024180771327622,50.12271961934438,P35225,IL13,Inflammation,Unique Protein
OID20431,972,1.10698832795062,0.9625023475220073,1.2731638124039906,0.15432817373231944,0.8858775386888316,35.51207261299738,P22301,IL10,Inflammation,Unique Protein
OID20432,972,1.0596975412082932,0.9212046477050301,1.2190113039925454,0.4171122430133762,0.8858775386888316,57.97285671459355,P27540,ARNT,Inflammation,Unique Protein
OID20433,972,0.92782752714874694,0.808155902037677,1.0652201115705326,0.2876773328359862,0.8858775386888316,82.36731004574459,O95379,TNFAIP8,Inflammation,Unique Protein
OID20434,972,1.0134417613554116,0.8994345156284661,1.1418999224657438,0.8264240676452045,0.9612908252159997,48.03796732575595,Q8WV07,LTO1,Inflammation,Unique Protein
OID20435,972,1.1569144071658304,1.0051634176038438,1.3315754653094396,0.04217482513462076,0.8858775386888316,29.017743628845672,O43707,ACTN4,Inflammation,Unique Protein
OID20436,972,0.9962436273216968,0.8644374947350463,1.1481470563505551,0.9585461778849411,0.9960293202835702,54.69405784157634,P28838,LAP3,Inflammation,Unique Protein
OID20437,972,1.1549833041933508,1.0147860783443938,1.3145494025122677,0.029086751896406006,0.8858775386888316,20.55292359496504,Q9NP70,AMBN,Inflammation,Unique Protein
OID20438,972,1.0182918189803356,0.8779656776450714,1.1810464292676686,0.8106325983425293,0.9600806665134576,19.364964768188074,Q6UXK5,LRRN1,Inflammation,Unique Protein
OID20439,972,1.0532777316521744,0.9272221569340383,1.1964705240248816,0.42479160369342484,0.8858775386888316,22.640700870887816,Q9HCU5,PREB,Inflammation,Unique Protein
OID20440,972,1.1115058686635413,0.977788016097203,1.2635103680291744,0.10598134969236435,0.8858775386888316,75.51413479301999,Q13007,IL24,Inflammation,Unique Protein
OID20441,972,0.9636157945890971,0.8357986910826165,1.110979724530092,0.6097204619452516,0.9025189092635648,56.82637189594944,Q9UPV0,CEP164,Inflammation,Unique Protein
OID20442,972,0.8898721508089524,0.7659455085116416,1.0338495832739978,0.12727817871831013,0.8858775386888316,44.44320334646435,O60934,NBN,Inflammation,Unique Protein
OID20443,972,0.9541070259695407,0.8288635060805792,1.0982751808063602,0.5128894954489012,0.8913554743782973,44.00918429661865,Q96P31,FCRL3,Inflammation,Unique Protein
OID20444,972,1.0112988184031066,0.8795776977805697,1.1627458298273743,0.8746104362055784,0.9710168562221471,46.23530058211611,Q9Y478,PRKAB1,Inflammation,Unique Protein
OID20445,972,0.8821343513828638,0.7643987355405407,1.0180040569263804,0.08618744017439132,0.8858775386888316,49.70535334698695,Q8TCS8,PNPT1,Inflammation,Unique Protein
OID20446,972,1.0644174388086314,0.9426067441665639,1.2019694226160997,0.3140388093968561,0.8858775386888316,45.46664449338745,Q5T4W7,ARTN,Inflammation,Unique Protein
OID20447,972,0.9273871022403437,0.8019124390179218,1.0724946958735488,0.3094477052925859,0.8858775386888316,38.675053486387775,Q5R372,RABGAP1L,Inflammation,Unique Protein
OID20448,972,0.9980878590525132,0.8746439851294651,1.1389541245636927,0.9773316966980979,0.997424784158364,45.278415623434164,Q969V3,NCLN,Inflammation,Unique Protein
OID20449,972,0.9482703958880326,0.8281375804099165,1.085830138601543,0.4421671877988822,0.8858775386888316,26.739425433157088,Q8N6P7,IL22RA1,Inflammation,Unique Protein
OID20450,972,1.1702949327639034,1.005534873472376,1.362051447229587,0.04222480504569457,0.8858775386888316,80.80649988561991,P14784,IL2RB,Inflammation,Unique Protein
