OlinkID,epvs_insula_6_nobs,epvs_insula_6_beta,epvs_insula_6_se,epvs_insula_6_pvalue,epvs_insula_6_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID20449,923,0.027737547680111847,0.03476265285056906,0.4251316369465492,0.9810524124677401,26.739425433157088,Q8N6P7,IL22RA1,Inflammation,Unique Protein
OID20450,923,0.0019831192867741294,0.03157469368306537,0.949933932728338,0.9977207636956279,80.80649988561991,P14784,IL2RB,Inflammation,Unique Protein
OID20451,923,-0.00500058340462871,0.033382694489627274,0.8809593423289931,0.993446834531741,66.67122054021792,Q13459,MYO9B,Inflammation,Unique Protein
OID20452,923,-0.01389753181327496,0.031972889914777744,0.6639088792077785,0.9890967725177496,43.18469629954743,P19801,AOC1,Inflammation,Unique Protein
OID20453,923,0.028183886407381252,0.03525684184542314,0.4242763141769116,0.9810524124677401,40.919860523329646,Q9NYY1,IL20,Inflammation,Unique Protein
OID20454,923,0.03919862337596649,0.03115574916682764,0.20866325322558302,0.9738590416428587,51.46574703245831,P57771,RGS8,Inflammation,Unique Protein
OID20455,923,-0.014359812516102735,0.03259557549703523,0.659648218157882,0.9890967725177496,55.82004800111024,P20809,IL11,Inflammation,Unique Protein
OID20456,923,-0.023228578703120346,0.0333453850657591,0.4862293837565368,0.9816185290187052,35.59066468465264,Q96PD4,IL17F,Inflammation,Unique Protein
OID20457,923,-0.0012347401537764855,0.0336553221638219,0.9707420528036512,0.9986550428843561,27.715294351221438,O76038,SCGN,Inflammation,Unique Protein
OID20458,923,-0.06858200240568607,0.03672990055216691,0.06219846618372045,0.7602194539457425,22.895760871873936,O95715,CXCL14,Inflammation,Unique Protein
OID20459,923,0.038367605408313084,0.03490610562273682,0.2719892662422819,0.9738590416428587,42.91391019809134,Q03426,MVK,Inflammation,Unique Protein
OID20460,923,-0.05959033621206202,0.04223164189162491,0.15857940087432526,0.9622023924017565,24.723663701784666,O14904,WNT9A,Inflammation,Unique Protein
OID20461,923,-0.009427695552059207,0.03319338880593703,0.7764577871936243,0.9890967725177496,25.622946262790535,P26951,IL3RA,Inflammation,Unique Protein
OID20462,923,0.03486012242858668,0.03284583525380424,0.2888264019220985,0.9738590416428587,50.50284146528743,Q9Y3P8,SIT1,Inflammation,Unique Protein
OID20463,923,-0.001305487222429488,0.033488598827625164,0.9689125501368159,0.9986550428843561,50.38439245319846,Q96DB9,FXYD5,Inflammation,Unique Protein
OID20464,923,0.0025089094101199824,0.03261814906508779,0.9387061808041663,0.9946257601720906,31.39252946275289,P48061,CXCL12,Inflammation,Unique Protein
OID20465,923,3.7279198189150834e-4,0.03266559703440695,0.9908969677150454,0.9986550428843561,93.34567480944578,Q99748,NRTN,Inflammation,Unique Protein
OID20466,923,0.012819700847273383,0.0323053029240941,0.6915870859184474,0.9890967725177496,52.523655670984105,Q13574,DGKZ,Inflammation,Unique Protein
OID20467,923,0.05878200805814596,0.03280223847256147,0.07346647644583461,0.787202495904524,71.34113034190173,Q9Y2J8,PADI2,Inflammation,Unique Protein
OID20468,923,-0.013570427875018857,0.033837383259356264,0.6884795906117767,0.9890967725177496,34.678108091141276,Q04759,PRKCQ,Inflammation,Unique Protein
OID20469,923,-0.0013310971057486282,0.03316820412721611,0.9679970032801599,0.9986550428843561,36.018458890942085,Q16552,IL17A,Inflammation,Unique Protein
OID20470,923,0.04327478669096159,0.032654704154153,0.18543292934595432,0.9713186555830414,55.484820070661044,Q12968,NFATC3,Inflammation,Unique Protein
OID20471,923,0.021426369341272435,0.03199994145398243,0.5033001309360359,0.9816185290187052,32.05506790402733,Q14435,GALNT3,Inflammation,Unique Protein
OID20472,923,-0.035710564780274824,0.03280029033645768,0.27656537124862746,0.9738590416428587,227.40039641593364,P05113,IL5,Inflammation,Unique Protein
OID20474,923,0.012856804097821027,0.032561720222922225,0.6930513744314157,0.9890967725177496,93.5573090043232,Q92844,TANK,Inflammation,Unique Protein
OID20475,923,0.019949198125897242,0.03357729163149597,0.5525758645653962,0.984280259829374,53.147909247082914,O43597,SPRY2,Inflammation,Unique Protein
OID20476,923,0.01997991037322402,0.03186703264282234,0.530832861249595,0.9816185290187052,57.45545121182689,P13693,TPT1,Inflammation,Unique Protein
OID20477,923,-0.006198782614013976,0.0342335520651902,0.8563507561136385,0.9908257245605179,29.84380214223052,Q9P0M4,IL17C,Inflammation,Unique Protein
OID20478,923,0.01415786916368464,0.03445870647913548,0.6812693776066596,0.9890967725177496,62.73898880804235,Q7Z739,YTHDF3,Inflammation,Unique Protein
OID20479,923,-0.01878500627809223,0.03408122342887153,0.5816445764328073,0.9844644449593747,87.44809687119948,P42768,WAS,Inflammation,Unique Protein
OID20480,923,-0.029025514372987317,0.03201616560198634,0.36486638674806837,0.9738590416428587,28.158218528372636,Q96RJ3,TNFRSF13C,Inflammation,Unique Protein
OID20481,923,-0.034043611419317873,0.03880544702501745,0.38056326711922583,0.9802119444326501,21.458639145475576,Q8TAD2,IL17D,Inflammation,Unique Protein
OID20482,923,-0.0028066127935735753,0.03385476533362328,0.9339482287976714,0.9946257601720906,33.11668223854103,Q7Z6M3,MILR1,Inflammation,Unique Protein
OID20483,923,0.001725777901998162,0.03364013028694378,0.9590969099681141,0.9986550428843561,54.267786947268434,P30048,PRDX3,Inflammation,Unique Protein
OID20484,923,0.03314000898966797,0.03429644699907561,0.3341628205180177,0.9738590416428587,58.28255146295594,Q05084,ICA1,Inflammation,Unique Protein
OID20485,923,0.005073434333625455,0.03378253677264786,0.8806568479204676,0.993446834531741,50.81218534346018,P51617,IRAK1,Inflammation,Unique Protein
OID20486,923,0.016712084413510412,0.033435343384163894,0.6173147888259232,0.9859783110734047,30.73961270092449,P42701,IL12RB1,Inflammation,Unique Protein
OID20487,923,-0.04323277024725891,0.03490515326742168,0.21582424528760225,0.9738590416428587,19.44692797833961,Q9HB29,IL1RL2,Inflammation,Unique Protein
OID20488,923,-0.00901694470348451,0.03219970793785579,0.7795173246436466,0.9890967725177496,81.5285370697488,P01583,IL1A,Inflammation,Unique Protein
OID20489,923,0.03342778275506339,0.03256512647038348,0.3049360836218521,0.9738590416428587,145.4420077965507,P32456,GBP2,Inflammation,Unique Protein
OID20490,923,-0.0015439162412185022,0.03790214491039024,0.9675167642955189,0.9986550428843561,20.33940827167288,P12034,FGF5,Inflammation,Unique Protein
OID20491,923,-0.046937532614399154,0.034545762112213725,0.1745798290783733,0.9622023924017565,23.803597387284064,P09919,CSF3,Inflammation,Unique Protein
OID20492,923,0.043161214945366205,0.03392367990364481,0.2035935733770994,0.9738590416428587,34.89963183705086,Q9BXJ7,AMN,Inflammation,Unique Protein
OID20493,923,-0.02183616732465648,0.03516511258971529,0.5347822629798505,0.9818897956596125,20.54185331430291,P18564,ITGB6,Inflammation,Unique Protein
OID20494,923,0.016407303823386298,0.03452200699273784,0.6347091209581865,0.9859783110734047,27.215383032164432,P01591,JCHAIN,Inflammation,Unique Protein
OID20495,923,0.06798745611147174,0.03298478843934012,0.03957270807219535,0.6686186456359944,48.11407969094256,P01579,IFNG,Inflammation,Unique Protein
OID20496,923,-0.008166524722896036,0.034390335243778526,0.8123495175922313,0.9896473158806222,42.45631465890214,Q13291,SLAMF1,Inflammation,Unique Protein
OID20497,923,-0.007427762313101256,0.03440829512423937,0.8291369530835939,0.9896473158806222,30.128035539841946,Q8N8S7,ENAH,Inflammation,Unique Protein
OID20498,923,0.04332101654174646,0.03758117235439276,0.24932617271878968,0.9738590416428587,36.92574890220236,Q13261,IL15RA,Inflammation,Unique Protein
OID20500,924,0.09705383607269288,0.0322715081189734,0.0027079033630965726,0.46560009001948716,43.30907682387938,P09874,PARP1,Inflammation,Unique Protein
OID20501,924,-0.013935776503452867,0.033835416851285174,0.6805329250612041,0.9890967725177496,62.78308820519409,Q0Z7S8,FABP9,Inflammation,Unique Protein
OID20502,924,0.04575593084833995,0.03392493772660084,0.17775890930446409,0.9622023924017565,41.679833530779945,P78362,SRPK2,Inflammation,Unique Protein
OID20503,924,0.056734933766452424,0.034065607987130375,0.09616810554915994,0.8544053875993755,53.39188622314336,P09038,FGF2,Inflammation,Unique Protein
OID20504,924,0.011355594350931498,0.0335913838938378,0.7354035651129779,0.9890967725177496,99.68422521826136,O43736,ITM2A,Inflammation,Unique Protein
OID20505,924,0.04871685030165563,0.03384318595464734,0.15035932953565673,0.9622023924017565,48.30109230697975,O14867,BACH1,Inflammation,Unique Protein
OID20506,924,0.037807707373359596,0.03210304384858487,0.23922744888689987,0.9738590416428587,83.44692941519092,Q8IU57,IFNLR1,Inflammation,Unique Protein
OID20507,924,0.06100634989455781,0.034139299599372855,0.0742759397248693,0.787202495904524,76.43223444512378,Q12933,TRAF2,Inflammation,Unique Protein
OID20508,924,0.044092538686733,0.034244631397319286,0.19822412787175658,0.9736668941214823,46.51509694776605,Q06520,SULT2A1,Inflammation,Unique Protein
OID20509,924,0.0012381079296964158,0.03799192251524307,0.974009778885999,0.9986550428843561,37.36635761639649,O60575,SPINK4,Inflammation,Unique Protein
OID20510,924,0.0401498537563588,0.03378112834595236,0.23493784746676513,0.9738590416428587,64.45880806202582,Q9Y5A7,NUB1,Inflammation,Unique Protein
OID20511,924,0.03850084946073654,0.04338477174206664,0.37508521911679304,0.9780321993562766,54.50712608163738,O60542,PSPN,Inflammation,Unique Protein
OID20512,924,0.02708452297468208,0.03233453939195535,0.40245794497864573,0.9810524124677401,34.70943459958243,P30838,ALDH3A1,Inflammation,Unique Protein
OID20513,661,0.010567031983993646,0.03895286397141996,0.7862652923973147,0.9890967725177496,15.682269173284974,O43521-2,BCL2L11,Inflammation,Unique Protein
OID20514,924,0.08666978206439493,0.032516724792163276,0.007827341591828213,0.48622512343285196,44.70559502976316,O60880,SH2D1A,Inflammation,Unique Protein
OID20515,924,0.028110773482836016,0.034050850254884,0.40927612740665176,0.9810524124677401,60.081422057647885,Q12778,FOXO1,Inflammation,Unique Protein
OID20516,924,0.03397135608773851,0.033722517213649814,0.31402283010477533,0.9738590416428587,53.30873905513184,Q7L8A9,VASH1,Inflammation,Unique Protein
OID20517,661,0.009824277947163038,0.04075781564460806,0.8096011671472051,0.9896473158806222,31.23319857161131,P55957,BID,Inflammation,Unique Protein
OID20519,924,0.03147619164953222,0.03408342218866517,0.3559913593432352,0.9738590416428587,75.02816785034094,Q6UB28,METAP1D,Inflammation,Unique Protein
OID20520,924,0.06784212206449378,0.03338084664151192,0.042409075412341506,0.6769783573347762,71.41855606479862,P01903,HLA-DRA,Inflammation,Unique Protein
OID20521,924,0.025110767989247003,0.03371850459313415,0.4566363630223357,0.9816185290187052,110.97108267175035,Q92609,TBC1D5,Inflammation,Unique Protein
OID20522,924,0.0016635895252105175,0.03354225175614907,0.9604546487897287,0.9986550428843561,48.722202726570735,P01588,EPO,Inflammation,Unique Protein
OID20523,924,0.038080543598473855,0.034331283594987286,0.2676359882829968,0.9738590416428587,73.8302470220435,P80098,CCL7,Inflammation,Unique Protein
OID20524,924,0.01718741732996458,0.034362708844115485,0.6170728495165136,0.9859783110734047,101.9112873812316,Q9UN19,DAPP1,Inflammation,Unique Protein
OID20525,924,0.03685621351736282,0.03396187739215695,0.2781128145895842,0.9738590416428587,92.21140517434728,Q9UNE0,EDAR,Inflammation,Unique Protein
OID20526,924,0.046913661954717044,0.03342656048871764,0.16081654778011667,0.9622023924017565,69.31220536517434,Q9C035,TRIM5,Inflammation,Unique Protein
OID20527,924,0.0696689119351474,0.032733205206087364,0.03357554990863051,0.6686186456359944,47.96321183811114,Q8N608,DPP10,Inflammation,Unique Protein
OID20528,924,0.004551540614157512,0.03381348000616047,0.8929524136756795,0.9946257601720906,35.370311091525835,P23229,ITGA6,Inflammation,Unique Protein
OID20529,924,0.06265431168417811,0.03449827574464196,0.06967802783818838,0.7837778792672053,85.77068448749249,Q6DN72,FCRL6,Inflammation,Unique Protein
OID20530,924,0.09579300177017773,0.03341217680678125,0.00424019182504227,0.4712190603112042,70.62788936127308,P33241,LSP1,Inflammation,Unique Protein
OID20531,924,-0.00917347526841799,0.03427052479549818,0.7890081621328348,0.9890967725177496,47.40678950301222,Q9UNK0,STX8,Inflammation,Unique Protein
OID20532,924,0.027742363407665713,0.0339715906150621,0.41435311440901046,0.9810524124677401,27.811981883847615,P13747,HLA-E,Inflammation,Unique Protein
OID20533,924,0.03338980605633317,0.03382548129628408,0.32384856864968026,0.9738590416428587,102.85456666246957,P19474,TRIM21,Inflammation,Unique Protein
OID20534,924,0.07501949722614332,0.03307678956235292,0.02356246309232112,0.6318631157693085,96.05089974165296,O75475,PSIP1,Inflammation,Unique Protein
OID20535,924,0.05643820385773814,0.034173784109638485,0.09898339712475127,0.8648001323777851,66.34786773764874,P13232,IL7,Inflammation,Unique Protein
OID20536,924,0.04936584390891181,0.03416362571237452,0.14881007881949043,0.9622023924017565,71.15817713678194,Q8IVG5,SAMD9L,Inflammation,Unique Protein
OID20537,924,0.08266154078337874,0.03290388520193573,0.01217125827822446,0.5089083182395027,58.00730195794487,Q96LC7,SIGLEC10,Inflammation,Unique Protein
OID20538,924,0.021769369164029845,0.03374960581065337,0.519074436158706,0.9816185290187052,86.09319063975178,B1AKI9,ISM1,Inflammation,Unique Protein
OID20539,924,0.1041331478722787,0.036455011447531674,0.004382022061499674,0.4712190603112042,50.405627485248935,Q6ZMH5,SLC39A5,Inflammation,Unique Protein
OID20540,924,-0.008552125123146802,0.03472984422451087,0.8055469443470964,0.9896473158806222,62.63123934447196,P78410,BTN3A2,Inflammation,Unique Protein
OID20541,924,-0.006165414265447301,0.03476993727216235,0.8592966485267814,0.9908257245605179,66.30479381023342,P12872,MLN,Inflammation,Unique Protein
OID20542,924,0.014778692164386476,0.034205709454076215,0.6658058825373598,0.9890967725177496,69.62510000165577,Q12765,SCRN1,Inflammation,Unique Protein
OID20543,924,-0.04079656372296775,0.04302790877615168,0.3433111590099598,0.9738590416428587,66.5099122979768,P58294,PROK1,Inflammation,Unique Protein
OID20544,924,0.03113935654994972,0.034350082749415055,0.3648978611644802,0.9738590416428587,75.19360848127108,Q9Y6K9,IKBKG,Inflammation,Unique Protein
OID20545,924,0.03107076944414902,0.03446328495886156,0.36753053609962527,0.9738590416428587,69.06036574521553,O95644,NFATC1,Inflammation,Unique Protein
OID20546,924,-0.032095016094479845,0.03225687712783769,0.32001179601179147,0.9738590416428587,88.08322803526029,Q9Y258,CCL26,Inflammation,Unique Protein
OID20547,924,0.02541105910649074,0.03308123576136641,0.4426043682918873,0.9816185290187052,81.08055680909513,Q8WTT0,CLEC4C,Inflammation,Unique Protein
OID20548,924,-0.009740943804097972,0.03746682576503362,0.7949319773562715,0.9890967725177496,75.69468894964902,Q3KPI0,CEACAM21,Inflammation,Unique Protein
OID20549,924,0.025648512482077602,0.033083444654045245,0.4383849290552908,0.9816185290187052,56.53423121365311,Q9BT73,PSMG3,Inflammation,Unique Protein
OID20550,924,0.02278626616573741,0.036558119485657264,0.5332523268203345,0.9816185290187052,30.00772866031804,P20849,COL9A1,Inflammation,Unique Protein
OID20551,924,0.02667280102502734,0.034752305523577276,0.4429781985505098,0.9816185290187052,85.89328641017245,Q9HD26,GOPC,Inflammation,Unique Protein
OID20552,924,0.029036969839871207,0.03388224143880834,0.3916743231143397,0.9810524124677401,80.89478871643234,P52564,MAP2K6,Inflammation,Unique Protein
OID20553,924,0.01883781411448463,0.03465228844389842,0.5868345999023683,0.9844644449593747,100.87404258600503,Q9H0P0,NT5C3A,Inflammation,Unique Protein
OID20554,924,0.015063697529727457,0.034137961642809314,0.6591309419825568,0.9890967725177496,80.26654083582852,Q9NZN5,ARHGEF12,Inflammation,Unique Protein
OID20555,924,0.018844267363034403,0.034280537627561274,0.5826561129909571,0.9844644449593747,53.29948959992578,P42575,CASP2,Inflammation,Unique Protein
OID20556,924,0.015113664598735149,0.03370489877914563,0.6539639282139784,0.9868541880069484,48.15449658377204,Q9UHC6,CNTNAP2,Inflammation,Unique Protein
OID20557,924,0.0102575519730176,0.034393884681563236,0.7655904592176601,0.9890967725177496,39.768648424664924,P45984,MAPK9,Inflammation,Unique Protein
OID20558,924,0.02371977277460723,0.03462817540311166,0.49352951019049185,0.9816185290187052,64.74483012842174,P11274,BCR,Inflammation,Unique Protein
OID20559,924,0.019938373137152517,0.034843658333760644,0.567312900144114,0.984280259829374,129.71720219537343,Q9UDT6,CLIP2,Inflammation,Unique Protein
OID20560,924,0.04704456439643828,0.03753687992171755,0.2104252625350105,0.9738590416428587,55.29720477290084,Q14242,SELPLG,Inflammation,Unique Protein
OID20561,924,0.004258387320466763,0.03491418007496814,0.9029521041737889,0.9946257601720906,62.164310837017965,P78310,CXADR,Inflammation,Unique Protein
OID20562,924,0.041537275555341466,0.0325566734118916,0.20233869179049832,0.9738590416428587,93.82640274758985,P40933,IL15,Inflammation,Unique Protein
OID20564,924,0.07116512946725576,0.03329635775533499,0.03283993767728712,0.6686186456359944,63.14186270648111,P24071,FCAR,Inflammation,Unique Protein
OID20565,924,0.08717885099987092,0.034352211451622976,0.01132264625428243,0.5089083182395027,85.69676119163287,Q01151,CD83,Inflammation,Unique Protein
OID20566,924,0.07275860923194773,0.03597487437166298,0.04342104366249864,0.6799063272063979,49.78110962295631,O76036,NCR1,Inflammation,Unique Protein
OID20567,924,0.08938299092576428,0.03372272937482146,0.008177432402348242,0.48622512343285196,107.12619514575314,P19878,NCF2,Inflammation,Unique Protein
OID20568,924,0.010094925026703245,0.038814033165308987,0.7948580167035035,0.9890967725177496,83.34331953915446,P23582,NPPC,Inflammation,Unique Protein
OID20569,924,0.023791223719413192,0.03334645203235908,0.4757482270753688,0.9816185290187052,69.46645688786874,Q9NRJ3,CCL28,Inflammation,Unique Protein
OID20570,924,0.011347600287224875,0.03266430772078686,0.7283714213180835,0.9890967725177496,114.64157433465974,P26022,PTX3,Inflammation,Unique Protein
OID20571,924,0.06954024623455395,0.03424747865293271,0.04259647803442404,0.6769783573347762,58.83530865108468,Q03431,PTH1R,Inflammation,Unique Protein
OID20572,924,0.10366781989013961,0.033059800791511634,0.0017695777086944777,0.4310396368761632,57.58704425723858,Q9GZT9,EGLN1,Inflammation,Unique Protein
OID20573,924,0.059006189007462274,0.03289181686343926,0.07315639408227576,0.787202495904524,88.34150674734654,Q9UMR7,CLEC4A,Inflammation,Unique Protein
OID20574,924,-0.022056896943022198,0.03310177868598589,0.5053669358171696,0.9816185290187052,111.88873380500684,P13725,OSM,Inflammation,Unique Protein
OID20575,924,-0.019476049640137615,0.03381948277520619,0.5648382259296492,0.984280259829374,55.39849803317837,P28845,HSD11B1,Inflammation,Unique Protein
OID20576,924,0.038348890978329296,0.034411257908909566,0.26539219766861943,0.9738590416428587,105.06893348024666,P24394,IL4R,Inflammation,Unique Protein
OID20577,924,0.03620422716722484,0.03440980698543718,0.2930131975454153,0.9738590416428587,85.37642620898507,Q9NWZ3,IRAK4,Inflammation,Unique Protein
OID20578,924,0.01912391115890208,0.03463277748195123,0.5809542283444782,0.9844644449593747,58.5971974790518,Q14773,ICAM4,Inflammation,Unique Protein
OID20579,924,0.013795068495105945,0.03416128199565267,0.6864395224643309,0.9890967725177496,90.33391965398077,Q16698,DECR1,Inflammation,Unique Protein
OID20580,924,0.05045755250332138,0.032372407786766026,0.11942782588566457,0.9043718524968849,86.59952620728205,O60449,LY75,Inflammation,Unique Protein
OID20581,924,0.02941995698375218,0.0324132530805828,0.3643044850584861,0.9738590416428587,51.033859919033,Q9UKX5,ITGA11,Inflammation,Unique Protein
OID20582,924,0.035051802464916855,0.03472101296278114,0.31299265431061657,0.9738590416428587,77.89460124641666,O15169,AXIN1,Inflammation,Unique Protein
OID20583,924,0.033488718254336344,0.03449876305764875,0.3319468143206764,0.9738590416428587,90.65787819437625,P50995,ANXA11,Inflammation,Unique Protein
OID20584,924,0.05101612654591676,0.03493848435243473,0.1445915587257244,0.9583699005788945,61.068804974909185,P01730,CD4,Inflammation,Unique Protein
OID20585,924,0.03425525544172468,0.034970267194955634,0.3275691063450694,0.9738590416428587,73.00236880847226,Q9NRM6,IL17RB,Inflammation,Unique Protein
OID20586,661,-0.004875218707788227,0.03776317254687754,0.897319289498685,0.9946257601720906,12.046786724702404,P01374,LTA,Inflammation,Unique Protein
OID20587,924,0.07764667070127938,0.03301088048233208,0.01887916166864417,0.5698347549618457,66.58333917511354,Q6ZUJ8,PIK3AP1,Inflammation,Unique Protein
OID20588,924,0.04660707965727515,0.03427425253648545,0.17422423254890274,0.9622023924017565,92.74666276959444,P16455,MGMT,Inflammation,Unique Protein
OID20589,924,0.03423869875209968,0.03440351650317034,0.3199013894560706,0.9738590416428587,90.56884703955723,O94992,HEXIM1,Inflammation,Unique Protein
OID20590,924,0.026643813940812854,0.031994862953928116,0.4052045537955785,0.9810524124677401,100.2382749089628,Q6UXB4,CLEC4G,Inflammation,Unique Protein
OID20591,924,-0.01214989688813467,0.031953751819076066,0.703861379131578,0.9890967725177496,80.39379509894704,P20783,NTF3,Inflammation,Unique Protein
OID20592,924,0.044354753404889806,0.034318794870541645,0.1965381154428306,0.9725636426977382,50.56136397496477,O14788,TNFSF11,Inflammation,Unique Protein
OID20593,924,0.009527458489007488,0.03260784541194051,0.7702138895628221,0.9890967725177496,97.41443629626819,Q29980_Q29983,MICB_MICA,Inflammation,Unique Protein
OID20594,924,0.029387524148214432,0.03474102390568554,0.3978313971899258,0.9810524124677401,101.49166638537316,Q8NDB2,BANK1,Inflammation,Unique Protein
OID20595,924,0.03616041085061279,0.03119122043046372,0.24663511846321187,0.9738590416428587,103.05686744657059,Q8TD46,CD200R1,Inflammation,Unique Protein
OID20596,924,0.00742445955423964,0.03778104993196265,0.8442530885937114,0.9905342527411105,65.31756231097926,P08727,KRT19,Inflammation,Unique Protein
OID20597,924,5.420480276185106e-4,0.034151013682102785,0.9873399445954953,0.9986550428843561,140.8327448120885,Q9HCM2,PLXNA4,Inflammation,Unique Protein
OID20598,690,0.0627828535559526,0.03823876116409361,0.10108880904613032,0.8690664377701146,87.5980153537238,P28827,PTPRM,Inflammation,Unique Protein
OID20599,924,-0.050536716231875035,0.034528906032989866,0.14364999940727186,0.9544018850845571,81.1793586222104,P32970,CD70,Inflammation,Unique Protein
OID20600,924,0.025821410114392138,0.03547081273212748,0.46682566274961224,0.9816185290187052,54.02900827441018,P01135,TGFA,Inflammation,Unique Protein
OID20601,924,-0.03128258231567174,0.034408569425817874,0.3635133251555135,0.9738590416428587,101.10872644207676,Q01344,IL5RA,Inflammation,Unique Protein
OID20602,924,0.029364168012156706,0.03507106664748675,0.4026591364678025,0.9810524124677401,63.44946399214349,Q9NQ25,SLAMF7,Inflammation,Unique Protein
OID20603,924,0.06117856498870463,0.033337750864515306,0.06681797608888977,0.7837778792672053,84.86867745051259,P41217,CD200,Inflammation,Unique Protein
OID20604,895,0.11477299181182496,0.03275255004874511,4.811847548143981e-4,0.3816047452338442,55.56893756964642,P10144,GZMB,Inflammation,Unique Protein
OID20605,924,0.08052508136633832,0.033047619506220684,0.015017005596034371,0.5176471160649799,81.01828136021575,P24001,IL32,Inflammation,Unique Protein
