OlinkID,epvs_insula_6_nobs,epvs_insula_6_beta,epvs_insula_6_se,epvs_insula_6_pvalue,epvs_insula_6_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID20419,923,-9.249107817741284e-4,0.031579826349979204,0.9766413624221186,0.9986550428843561,109.22508504950703,P60568,IL2,Inflammation,Unique Protein
OID20420,923,-0.005963978785315196,0.03391654172109098,0.8604569762768834,0.9908257245605179,31.10658954150653,Q13651,IL10RA,Inflammation,Unique Protein
OID20421,923,0.0033629493950051333,0.03155523829061301,0.9151511366527374,0.9946257601720906,41.82230943016657,Q13219,PAPPA,Inflammation,Unique Protein
OID20422,923,-0.003448880272759861,0.03594105194985324,0.9235741895911272,0.9946257601720906,38.83128161762722,Q9UHF4,IL20RA,Inflammation,Unique Protein
OID20423,923,-4.1139810434143913e-4,0.03405779690059528,0.9903649334242327,0.9986550428843561,30.402363868405207,P63241,EIF5A,Inflammation,Unique Protein
OID20424,923,-0.03338457931994171,0.03159393259253434,0.2909422968020834,0.9738590416428587,37.25206297851802,P05412,JUN,Inflammation,Unique Protein
OID20425,923,0.04365485576998166,0.03440649817394134,0.20484122433076948,0.9738590416428587,62.96770911361362,Q96AX2,RAB37,Inflammation,Unique Protein
OID20426,923,-0.015795977717146695,0.0332461968001322,0.6348156364730858,0.9859783110734047,735.1626198185713,P05112,IL4,Inflammation,Unique Protein
OID20427,923,-0.005904581813199701,0.03294033734946385,0.8577810778639463,0.9908257245605179,85.8218402734492,P01584,IL1B,Inflammation,Unique Protein
OID20428,923,-0.03598770510070401,0.03355371053256931,0.2837646272119391,0.9738590416428587,39.78103766546303,O95760,IL33,Inflammation,Unique Protein
OID20429,923,0.009826507312601327,0.037489325854838135,0.7932928465721143,0.9890967725177496,25.618731324586996,Q8NHJ6,LILRB4,Inflammation,Unique Protein
OID20430,923,0.021152468629408075,0.033013860729947504,0.5218709256724603,0.9816185290187052,50.12271961934438,P35225,IL13,Inflammation,Unique Protein
OID20431,923,0.02869085670624839,0.03406672709581494,0.39990181779724165,0.9810524124677401,35.51207261299738,P22301,IL10,Inflammation,Unique Protein
OID20432,923,0.024099255023349253,0.03341598908023796,0.4709801191345596,0.9816185290187052,57.97285671459355,P27540,ARNT,Inflammation,Unique Protein
OID20433,923,0.013760166404363212,0.032438148108282536,0.6715233799314706,0.9890967725177496,82.36731004574459,O95379,TNFAIP8,Inflammation,Unique Protein
OID20434,923,-0.03403415374679904,0.030251580318786428,0.2608728712039282,0.9738590416428587,48.03796732575595,Q8WV07,LTO1,Inflammation,Unique Protein
OID20435,923,0.0627010767298942,0.03336706073910036,0.06054920343905005,0.7531290283078438,29.017743628845672,O43707,ACTN4,Inflammation,Unique Protein
OID20436,923,0.011252494420777581,0.033007847024754754,0.73325561765434,0.9890967725177496,54.69405784157634,P28838,LAP3,Inflammation,Unique Protein
OID20437,923,0.036820366032430475,0.03303066865672673,0.2652622395059633,0.9738590416428587,20.55292359496504,Q9NP70,AMBN,Inflammation,Unique Protein
OID20438,923,-0.0660022932724247,0.03397007189124356,0.052332878843580795,0.7148084339242368,19.364964768188074,Q6UXK5,LRRN1,Inflammation,Unique Protein
OID20439,923,0.027472576295377443,0.0360244253582763,0.44589579741320207,0.9816185290187052,22.640700870887816,Q9HCU5,PREB,Inflammation,Unique Protein
OID20440,923,-0.022345082630704182,0.03162147241986236,0.47997124445801775,0.9816185290187052,75.51413479301999,Q13007,IL24,Inflammation,Unique Protein
OID20441,923,0.037352695188139745,0.03369327313459282,0.26789434793857175,0.9738590416428587,56.82637189594944,Q9UPV0,CEP164,Inflammation,Unique Protein
OID20442,923,0.08802799236502203,0.0332213271336751,0.008196418873760465,0.48622512343285196,44.44320334646435,O60934,NBN,Inflammation,Unique Protein
OID20443,923,0.03202740635178082,0.03270827431026813,0.3277521009677974,0.9738590416428587,44.00918429661865,Q96P31,FCRL3,Inflammation,Unique Protein
OID20444,923,-0.021066764883810707,0.033844980973263196,0.533804348593398,0.9816185290187052,46.23530058211611,Q9Y478,PRKAB1,Inflammation,Unique Protein
OID20445,923,0.0397600725617774,0.03297162606618966,0.2281774301192088,0.9738590416428587,49.70535334698695,Q8TCS8,PNPT1,Inflammation,Unique Protein
OID20446,923,0.0476885435204773,0.03139788035935772,0.12915207842882076,0.9416453959444909,45.46664449338745,Q5T4W7,ARTN,Inflammation,Unique Protein
OID20447,923,0.025521093599211477,0.03394225989028156,0.45230918658121766,0.9816185290187052,38.675053486387775,Q5R372,RABGAP1L,Inflammation,Unique Protein
OID20448,923,-0.045961083715684824,0.03264847548825639,0.15954827523223228,0.9622023924017565,45.278415623434164,Q969V3,NCLN,Inflammation,Unique Protein
