Value,Feature
-3.9427452888587505e-4,OID20888
0,OID20895
0,OID20899
0,OID20903
0,OID20907
0,OID20908
0.002679565400524924,OID20912
0,OID20918
0,OID20923
0,OID20926
0,OID20927
0,OID20930
0,OID20932
0,OID20937
0,OID20942
0,OID20950
0,OID20952
0,OID20955
0,OID20956
0,OID20958
0,OID20959
0,OID20960
0,OID20967
0,OID20969
0,OID20977
0,OID20986
0,OID20988
0,OID20989
0,OID20993
0,OID20998
0,OID21000
0,OID21011
0,OID21015
0,OID21016
0,OID21021
0,OID21022
0,OID21023
0,OID21027
0,OID21028
0,OID21031
0,OID21034
0,OID21036
0,OID21037
0,OID21041
0,OID21053
0,OID21056
0,OID21061
0,OID21073
0,OID21077
0,OID21086
0,OID21087
0,OID21088
0,OID21091
0,OID21099
0,OID21104
0,OID21115
0,OID21118
-0.0015878094368388057,OID21121
0,OID21135
0,OID21140
0,OID21143
-9.075952906243751e-4,OID21147
0,OID21149
0,OID21150
0,OID21160
0,OID21179
0,OID21204
0,OID21222
0,OID21224
0,OID21236
0,OID21241
0,OID21246
0,OID21259
0,OID21269
0,OID21277
0,OID21280
0,OID21281
0,OID21286
0,OID21287
0,OID21292
0,OID21295
0,OID21304
0,OID21311
0,OID21314
0,OID21317
0,OID21320
0,OID21323
0,OID21326
0,OID21331
0,OID21332
0,OID21334
0,OID21335
0,OID21336
0,OID21347
0,OID21348
0.0019969967013248133,OID21352
0,OID21355
0,OID21361
0,OID21363
0,OID21373
0,OID21375
0,OID21384
0,OID21387
0,OID21399
0,OID21414
0,OID21421
-0.001699597135940027,OID21422
0,OID21428
-7.251190118420301e-5,OID21436
0,OID21437
0,OID21442
0,OID21470
0,OID21471
0,OID21475
0,OID21476
0,OID21477
0,OID21481
0,OID21500
0,OID21501
0,OID21503
0,OID21506
0,OID21509
0,OID21513
0,OID21515
-0.001431618735742287,OID21519
0,OID21521
0,OID21523
0.0032149986954034884,OID21526
-4.720673666561575e-4,OID31310
0,OID31313
0,OID31335
0,OID31344
0,OID31360
0,OID31362
0,OID31375
0,OID31378
0,OID31395
0,OID31397
0,OID31406
0,OID31422
0,OID31423
0,OID31428
0,OID31442
-7.809006729291458e-4,OID31448
0,OID31450
0,OID31452
0,OID31463
0,OID31465
0,OID31466
0,OID31468
0,OID31472
0,OID31477
0,OID31478
0,OID31481
0,OID31482
0,OID31483
0,OID31484
0,OID31485
0,OID31486
0,OID31487
0,OID31492
0,OID31494
0,OID31497
0,OID31499
0,OID31502
0,OID31503
0,OID31519
0,OID31520
0,OID31523
0,gender_1
-1.4990895966540286e-4,race_2
0,race_3
0,race_4
0.004477690292282316,edu_1
-0.003027462062542371,htnmeds_1
0,E4_1
-0.008188099233316419,E4_2
0,AFprevalent_1
-0.0026451620476755596,diabetes_1
0,MIprevalent_1
-0.007204475179713576,CHFprevalent_1
