OlinkID,epvs_thalamus_6_nobs,epvs_thalamus_6_beta,epvs_thalamus_6_se,epvs_thalamus_6_pvalue,epvs_thalamus_6_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID20419,923,-0.005087721660301527,0.03081777669275122,0.8689097950308355,0.999912880572633,109.22508504950703,P60568,IL2,Inflammation,Unique Protein
OID20420,923,-0.051547048605215307,0.03305457898984002,0.11924045789023512,0.999912880572633,31.10658954150653,Q13651,IL10RA,Inflammation,Unique Protein
OID20421,923,0.0261673551447892,0.030782085309911767,0.39550427396935484,0.999912880572633,41.82230943016657,Q13219,PAPPA,Inflammation,Unique Protein
OID20422,923,-0.039705763279634425,0.035049502397184185,0.25757940184496186,0.999912880572633,38.83128161762722,Q9UHF4,IL20RA,Inflammation,Unique Protein
OID20423,923,-0.06626114783012997,0.0331630525773597,0.04601236870224239,0.999912880572633,30.402363868405207,P63241,EIF5A,Inflammation,Unique Protein
OID20424,923,-0.04232363490211824,0.030818854610495636,0.16999970952898877,0.999912880572633,37.25206297851802,P05412,JUN,Inflammation,Unique Protein
OID20425,923,0.027775474903688594,0.03359397152988213,0.4085696815392026,0.999912880572633,62.96770911361362,Q96AX2,RAB37,Inflammation,Unique Protein
OID20426,923,0.02178223302059015,0.032440360105221576,0.5021030031780334,0.999912880572633,735.1626198185713,P05112,IL4,Inflammation,Unique Protein
OID20427,923,0.0176608101330806,0.03214111660740302,0.5828141808715643,0.999912880572633,85.8218402734492,P01584,IL1B,Inflammation,Unique Protein
OID20428,923,-0.03529370681868966,0.03274430140225557,0.2813856228933094,0.999912880572633,39.78103766546303,O95760,IL33,Inflammation,Unique Protein
OID20429,923,-0.012333107792604693,0.03658429822910052,0.7361088851898343,0.999912880572633,25.618731324586996,Q8NHJ6,LILRB4,Inflammation,Unique Protein
OID20430,923,0.004145564086290224,0.032224721223717466,0.8976669026150015,0.999912880572633,50.12271961934438,P35225,IL13,Inflammation,Unique Protein
OID20431,923,0.001919488323021301,0.03325817500516722,0.9539886157624438,0.999912880572633,35.51207261299738,P22301,IL10,Inflammation,Unique Protein
OID20432,923,-0.05410383458740289,0.03256968236794995,0.09702686026097879,0.999912880572633,57.97285671459355,P27540,ARNT,Inflammation,Unique Protein
OID20433,923,0.0070325511034747615,0.03165814407595196,0.8242549714121657,0.999912880572633,82.36731004574459,O95379,TNFAIP8,Inflammation,Unique Protein
OID20434,923,-8.352464483417681e-5,0.029542743477843005,0.9977448117871528,0.999912880572633,48.03796732575595,Q8WV07,LTO1,Inflammation,Unique Protein
OID20435,923,0.007176750862700869,0.03262523003046124,0.8259400746888204,0.999912880572633,29.017743628845672,O43707,ACTN4,Inflammation,Unique Protein
OID20436,923,0.024458672572771303,0.0322035800242275,0.4477511820269907,0.999912880572633,54.69405784157634,P28838,LAP3,Inflammation,Unique Protein
OID20437,923,-0.05239981339418181,0.03220902897932133,0.10411494933284214,0.999912880572633,20.55292359496504,Q9NP70,AMBN,Inflammation,Unique Protein
OID20438,923,-0.030281273073978914,0.03320488411871221,0.3620377173738418,0.999912880572633,19.364964768188074,Q6UXK5,LRRN1,Inflammation,Unique Protein
OID20439,923,0.008522379538221846,0.03516583657884532,0.8085654693296387,0.999912880572633,22.640700870887816,Q9HCU5,PREB,Inflammation,Unique Protein
OID20440,923,-0.003772175449157902,0.030867163996450182,0.9027625407688344,0.999912880572633,75.51413479301999,Q13007,IL24,Inflammation,Unique Protein
OID20441,923,0.06457924508900899,0.032832709707022914,0.04949919499931381,0.999912880572633,56.82637189594944,Q9UPV0,CEP164,Inflammation,Unique Protein
OID20442,923,0.018185112894083685,0.03254057592713435,0.5764069007582144,0.999912880572633,44.44320334646435,O60934,NBN,Inflammation,Unique Protein
OID20443,923,-0.05563599351053704,0.03188260930313715,0.08132120502905933,0.999912880572633,44.00918429661865,Q96P31,FCRL3,Inflammation,Unique Protein
OID20444,923,-0.012529784164717719,0.0330332182321706,0.7045480801886642,0.999912880572633,46.23530058211611,Q9Y478,PRKAB1,Inflammation,Unique Protein
OID20445,923,0.0340777566062115,0.0321823988178902,0.2899317405715383,0.999912880572633,49.70535334698695,Q8TCS8,PNPT1,Inflammation,Unique Protein
OID20446,923,-0.009784074403199375,0.030678139121468318,0.7498560979920338,0.999912880572633,45.46664449338745,Q5T4W7,ARTN,Inflammation,Unique Protein
OID20447,923,0.014664810236234456,0.033130476181521096,0.6581337804653918,0.999912880572633,38.675053486387775,Q5R372,RABGAP1L,Inflammation,Unique Protein
OID20448,923,-0.0436411255552824,0.03186297240357827,0.17113737797259462,0.999912880572633,45.278415623434164,Q969V3,NCLN,Inflammation,Unique Protein
OID20449,923,0.01280161285077688,0.033933599370245045,0.7060731071728495,0.999912880572633,26.739425433157088,Q8N6P7,IL22RA1,Inflammation,Unique Protein
OID20450,923,-0.026468301538741253,0.030800667021910203,0.39038052553829494,0.999912880572633,80.80649988561991,P14784,IL2RB,Inflammation,Unique Protein
OID20451,923,0.0038318732472416325,0.03257777275178608,0.9063931328750605,0.999912880572633,66.67122054021792,Q13459,MYO9B,Inflammation,Unique Protein
OID20452,923,0.04058208223859646,0.031175781911751754,0.19334545366314487,0.999912880572633,43.18469629954743,P19801,AOC1,Inflammation,Unique Protein
OID20453,923,-0.0653425373807905,0.03434985635443724,0.05745512375478852,0.999912880572633,40.919860523329646,Q9NYY1,IL20,Inflammation,Unique Protein
OID20454,923,-0.03165886401372269,0.030412791782839267,0.29816779797943893,0.999912880572633,51.46574703245831,P57771,RGS8,Inflammation,Unique Protein
OID20455,923,-0.002471664670502811,0.0318128000636368,0.9380886922697936,0.999912880572633,55.82004800111024,P20809,IL11,Inflammation,Unique Protein
OID20456,923,-0.013245035457462301,0.032546978351253655,0.684140404021262,0.999912880572633,35.59066468465264,Q96PD4,IL17F,Inflammation,Unique Protein
OID20457,923,0.007446282321602941,0.03284275769567348,0.8206888227496015,0.999912880572633,27.715294351221438,O76038,SCGN,Inflammation,Unique Protein
OID20458,923,-0.030523088368962278,0.0358989836080446,0.39541233733407555,0.999912880572633,22.895760871873936,O95715,CXCL14,Inflammation,Unique Protein
OID20459,923,-0.004301502338135219,0.0340868186454161,0.8996076671981532,0.999912880572633,42.91391019809134,Q03426,MVK,Inflammation,Unique Protein
OID20460,923,-0.008742458016368339,0.0412576410937585,0.8322336571812866,0.999912880572633,24.723663701784666,O14904,WNT9A,Inflammation,Unique Protein
OID20461,923,-0.04722338162851497,0.032356102088913145,0.1447790586502589,0.999912880572633,25.622946262790535,P26951,IL3RA,Inflammation,Unique Protein
OID20462,923,-0.029662901718309428,0.03205850797339712,0.3550711851039565,0.999912880572633,50.50284146528743,Q9Y3P8,SIT1,Inflammation,Unique Protein
OID20463,923,-0.02008581672751488,0.03267414373349694,0.5388874366069369,0.999912880572633,50.38439245319846,Q96DB9,FXYD5,Inflammation,Unique Protein
OID20464,923,-0.029611886284462964,0.0318163239892911,0.3522510191821515,0.999912880572633,31.39252946275289,P48061,CXCL12,Inflammation,Unique Protein
OID20465,923,0.0192013876655074,0.031871397042546976,0.5470165276254115,0.999912880572633,93.34567480944578,Q99748,NRTN,Inflammation,Unique Protein
OID20466,923,0.0050190094367168325,0.03152852019651876,0.8735552502076962,0.999912880572633,52.523655670984105,Q13574,DGKZ,Inflammation,Unique Protein
OID20467,923,0.011290097869988832,0.032065949637445,0.724853155902166,0.999912880572633,71.34113034190173,Q9Y2J8,PADI2,Inflammation,Unique Protein
OID20468,923,0.04793896915520433,0.03298564711248902,0.14648086428689558,0.999912880572633,34.678108091141276,Q04759,PRKCQ,Inflammation,Unique Protein
OID20469,923,0.007258524721611568,0.03236742526662134,0.8226105059653,0.999912880572633,36.018458890942085,Q16552,IL17A,Inflammation,Unique Protein
OID20470,923,0.00302087288669692,0.0318980672054544,0.9245710391275684,0.999912880572633,55.484820070661044,Q12968,NFATC3,Inflammation,Unique Protein
OID20471,923,0.0559791488019199,0.031180257534070294,0.0729346405269435,0.999912880572633,32.05506790402733,Q14435,GALNT3,Inflammation,Unique Protein
OID20472,923,-0.031165403083566745,0.032013474615012756,0.33056171080192787,0.999912880572633,227.40039641593364,P05113,IL5,Inflammation,Unique Protein
OID20474,923,-0.009933118750926354,0.03177746810930771,0.7546692902294144,0.999912880572633,93.5573090043232,Q92844,TANK,Inflammation,Unique Protein
OID20475,923,0.013968698347625845,0.032770635342635066,0.6700227203298916,0.999912880572633,53.147909247082914,O43597,SPRY2,Inflammation,Unique Protein
OID20476,923,0.02947674573091672,0.031089786054598403,0.34332426134756777,0.999912880572633,57.45545121182689,P13693,TPT1,Inflammation,Unique Protein
OID20477,923,-0.0149810788480725,0.03340483465692963,0.6539215874558699,0.999912880572633,29.84380214223052,Q9P0M4,IL17C,Inflammation,Unique Protein
OID20478,923,-0.012573100543492964,0.033628220898993075,0.7085775474938243,0.999912880572633,62.73898880804235,Q7Z739,YTHDF3,Inflammation,Unique Protein
OID20479,923,0.0168200691316477,0.03326018675479775,0.6131826732204906,0.999912880572633,87.44809687119948,P42768,WAS,Inflammation,Unique Protein
OID20480,923,-0.043835501210098556,0.031224159151424777,0.16069412014863133,0.999912880572633,28.158218528372636,Q96RJ3,TNFRSF13C,Inflammation,Unique Protein
OID20481,923,-0.07427911765798101,0.037804858697916104,0.04974392817410923,0.999912880572633,21.458639145475576,Q8TAD2,IL17D,Inflammation,Unique Protein
OID20482,923,0.01068772386287668,0.03303651060571223,0.7463822215920788,0.999912880572633,33.11668223854103,Q7Z6M3,MILR1,Inflammation,Unique Protein
OID20483,923,0.008231706862180626,0.03282774702658576,0.8020610548410507,0.999912880572633,54.267786947268434,P30048,PRDX3,Inflammation,Unique Protein
OID20484,923,-0.0037596704721849085,0.03348643637689321,0.9106308254686466,0.999912880572633,58.28255146295594,Q05084,ICA1,Inflammation,Unique Protein
OID20485,923,-0.0035173617021505028,0.03296802102738644,0.9150585809455073,0.999912880572633,50.81218534346018,P51617,IRAK1,Inflammation,Unique Protein
OID20486,923,0.036243783945652475,0.03261117396930157,0.266696314934541,0.999912880572633,30.73961270092449,P42701,IL12RB1,Inflammation,Unique Protein
OID20487,923,-0.009844431278345502,0.03409076836022849,0.7728229143380683,0.999912880572633,19.44692797833961,Q9HB29,IL1RL2,Inflammation,Unique Protein
OID20488,923,0.013833789430891063,0.03142114796430482,0.6598471503175737,0.999912880572633,81.5285370697488,P01583,IL1A,Inflammation,Unique Protein
OID20489,923,0.028132314565149284,0.03178452844199144,0.37634175075455245,0.999912880572633,145.4420077965507,P32456,GBP2,Inflammation,Unique Protein
