OlinkID,fa_1_nobs,fa_1_beta,fa_1_se,fa_1_pvalue,fa_1_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID20419,1146,-0.03312088096478362,0.026057778003839113,0.2039714338620872,0.40921132794510573,109.22508504950703,P60568,IL2,Inflammation,Unique Protein
OID20420,1146,-0.016162055552082628,0.025996888280048046,0.5342703083050944,0.7308368753864052,31.10658954150653,Q13651,IL10RA,Inflammation,Unique Protein
OID20421,1146,0.017214602374009912,0.027752975213899952,0.5351992825222367,0.7310221975759336,41.82230943016657,Q13219,PAPPA,Inflammation,Unique Protein
OID20422,1146,0.036015536365939335,0.026901728583673068,0.18091203843260764,0.37961657454308123,38.83128161762722,Q9UHF4,IL20RA,Inflammation,Unique Protein
OID20423,1146,0.0271676940527412,0.026799202915695205,0.3109198011365405,0.5367540858983524,30.402363868405207,P63241,EIF5A,Inflammation,Unique Protein
OID20424,1146,-0.008173319136466774,0.02649276526744841,0.7577503209159784,0.8782332228538481,37.25206297851802,P05412,JUN,Inflammation,Unique Protein
OID20425,1146,-0.06429671730582265,0.027053196539914007,0.01763576548406133,0.07693931717897204,62.96770911361362,Q96AX2,RAB37,Inflammation,Unique Protein
OID20426,1146,-0.031603847446105546,0.026447991697818547,0.2323608524484119,0.44396652624571603,735.1626198185713,P05112,IL4,Inflammation,Unique Protein
OID20427,1146,-0.010214071764061501,0.02692955740809944,0.7045451434280656,0.8440104320656704,85.8218402734492,P01584,IL1B,Inflammation,Unique Protein
OID20428,1146,-0.023445102467264122,0.026531220372490998,0.37705774193868313,0.6011499604385915,39.78103766546303,O95760,IL33,Inflammation,Unique Protein
OID20429,1146,-0.018866035132277772,0.028897612234252964,0.5139811445673599,0.7130360159327921,25.618731324586996,Q8NHJ6,LILRB4,Inflammation,Unique Protein
OID20430,1146,0.013665967803374361,0.0265460205400798,0.6067918081468346,0.7868910626500434,50.12271961934438,P35225,IL13,Inflammation,Unique Protein
OID20431,1146,-0.049189557460508335,0.027179512538904382,0.07059290724964336,0.20832760696797573,35.51207261299738,P22301,IL10,Inflammation,Unique Protein
OID20432,1146,-0.009724738443915262,0.027304413314792865,0.7217875039324637,0.855549421733411,57.97285671459355,P27540,ARNT,Inflammation,Unique Protein
