OlinkID,epvs_basalganglia_1_nobs,epvs_basalganglia_1_beta,epvs_basalganglia_1_se,epvs_basalganglia_1_pvalue,epvs_basalganglia_1_fdr,cv_percent,UniProt,Assay,Panel,Retain
OID20419,906,-0.0105040967678047,0.028477136806478016,0.7123198775540077,0.9987500805629036,109.22508504950703,P60568,IL2,Inflammation,Unique Protein
OID20420,906,-0.007812489841127069,0.029605608254592266,0.7919296749370672,0.9987500805629036,31.10658954150653,Q13651,IL10RA,Inflammation,Unique Protein
OID20421,906,0.002617048731794223,0.03028619964110876,0.9311595873964412,0.9987500805629036,41.82230943016657,Q13219,PAPPA,Inflammation,Unique Protein
OID20422,906,-0.007968364908185106,0.030293406718350638,0.7925813678675221,0.9987500805629036,38.83128161762722,Q9UHF4,IL20RA,Inflammation,Unique Protein
OID20423,906,-0.03282243860692737,0.029721010565387188,0.2697412510772925,0.9987500805629036,30.402363868405207,P63241,EIF5A,Inflammation,Unique Protein
OID20424,906,-0.058407882882529585,0.030126860214098095,0.05285206915148381,0.9987500805629036,37.25206297851802,P05412,JUN,Inflammation,Unique Protein
OID20425,906,0.03862857275938256,0.03020163408185787,0.2012247348950569,0.9987500805629036,62.96770911361362,Q96AX2,RAB37,Inflammation,Unique Protein
OID20426,906,0.002542040191220499,0.030293623774254822,0.9331443042320275,0.9987500805629036,735.1626198185713,P05112,IL4,Inflammation,Unique Protein
OID20427,906,0.0277094273703266,0.03008952680331803,0.357354187175534,0.9987500805629036,85.8218402734492,P01584,IL1B,Inflammation,Unique Protein
OID20428,906,0.033553382292897234,0.03172201726057961,0.2904667418893988,0.9987500805629036,39.78103766546303,O95760,IL33,Inflammation,Unique Protein
OID20429,906,0.0566060021845535,0.031824408401310234,0.07563292756271192,0.9987500805629036,25.618731324586996,Q8NHJ6,LILRB4,Inflammation,Unique Protein
OID20430,906,0.04564810195614042,0.03032019632617458,0.13254392572233128,0.9987500805629036,50.12271961934438,P35225,IL13,Inflammation,Unique Protein
OID20431,906,0.03165154381205305,0.02986640297865601,0.2895383238569018,0.9987500805629036,35.51207261299738,P22301,IL10,Inflammation,Unique Protein
OID20432,906,0.007326007313395851,0.03044410072542952,0.8098914964379874,0.9987500805629036,57.97285671459355,P27540,ARNT,Inflammation,Unique Protein
OID20433,906,0.006842191545419828,0.03247124670726154,0.833157922433218,0.9987500805629036,82.36731004574459,O95379,TNFAIP8,Inflammation,Unique Protein
OID20434,906,0.003738143668811509,0.02905341727409767,0.8976523854201626,0.9987500805629036,48.03796732575595,Q8WV07,LTO1,Inflammation,Unique Protein
OID20435,906,0.004212009987331751,0.03236922291357798,0.8964979932750572,0.9987500805629036,29.017743628845672,O43707,ACTN4,Inflammation,Unique Protein
OID20436,906,0.020988718272850797,0.029738503064518192,0.4805134658582859,0.9987500805629036,54.69405784157634,P28838,LAP3,Inflammation,Unique Protein
OID20437,906,-0.02209814911814133,0.031812480834352334,0.4874648904333315,0.9987500805629036,20.55292359496504,Q9NP70,AMBN,Inflammation,Unique Protein
